"iso_code","country","continent","confirmed","confirmed_per_mil","deaths","deaths_per_mil","tests_performed","gdp_pc","median_age","aged_65_older","diab_prev","cardio_dr","hosp_beds_per_thou","hdi","overwgh_prev","gdp_pc_er"
"SEN","Senegal","AF",14280,852.84601,297,17.738001,166772,3394.8689,18.700001,3.0984764,2.4000001,241.21899,NA,0.514,24.9,2442.95962708091
"SGP","Singapore","AS",57406,9812.416,27,4.6149998,2281104,97341.469,42.400002,12.393129,5.5,92.242996,2.4,0.935,33.599998,98368.9446218524
"SLV","El Salvador","NAM",27009,4164.0708,788,121.489,349898,8775.9863,27.6,8.4695826,8.8000002,167.295,1.3,0.667,56.799999,9235.01235054508
"SRB","Serbia","EU",32408,4762.6631,733,107.721,1673368,18179.775,41.200001,18.740503,9,439.41501,5.609,0.799,60.700001,16384.1596073594
"SVK","Slovakia","EU",5532,1013.253,38,6.96,384503,32792.555,41.200001,16.172363,6.5,287.95901,5.82,0.857,59.700001,32393.6261733395
"SVN","Slovenia","EU",3702,1780.722,131,63.013,182973,38688.785,44.5,20.186283,5.9000001,153.493,4.5,0.902,60.700001,38396.3910950101
"TGO","Togo","AF",1572,189.884,37,4.4689999,77229,1595.9292,19.4,2.8873477,2.4000001,280.03299,0.7,0.513,25,105.848475068187
"THA","Thailand","AS",3475,49.785,58,0.83099997,860163,18463.094,40.099998,12.40625,7,109.861,2.1,0.765,34.700001,17980.2485003446
"TUN","Tunisia","AF",6635,561.40198,107,9.0539999,168458,10755.58,32.700001,8.5934687,8.5,318.991,2.3,0.739,62.200001,12196.6281133136
"TUR","Turkey","AS",291162,3452.2791,7056,83.662003,8519560,28167.396,31.6,8.726284,11.1,171.285,2.81,0.806,66.900002,26970.7073704725
"TWN","Taiwan","AS",498,20.91,7,0.294,146651,NA,42.200001,NA,NA,103.957,NA,NA,NA,NA
"UGA","Uganda","AF",4799,104.917,55,1.202,423214,2181.2478,16.4,1.9625502,2.5,213.33299,0.5,0.528,19,3306.44337285847
"UKR","Ukraine","EU",154335,3528.967,3178,72.667,1870790,12810.289,41.400002,16.70499,6.0999999,539.849,8.8,0.75,61.900002,14063.9112550448
"URY","Uruguay","SAM",1808,520.47803,45,12.954,196892,21561.063,35.599998,14.94124,7.3000002,160.70799,2.8,0.808,64.5,23582.7176593916
"USA","United States","NAM",6519979,19697.664,194079,586.33698,96786798,62526.938,38.299999,16.209606,10.8,151.089,2.77,0.92,70.199997,63714.8316707557
"ZAF","South Africa","AF",649793,10956.118,15447,260.45099,6397277,12481.813,27.299999,5.4152555,12.7,200.38,2.32,0.705,51.900002,12082.5851206409
"ZMB","Zambia","AF",13539,736.45697,312,16.971001,131034,3479.4922,17.700001,2.1153147,4.5,234.49899,2,0.591,23.9,4822.99092512044
"ZWE","Zimbabwe","AF",7526,506.36099,224,15.071,107414,2835.9485,19.6,2.980608,1.8,307.84601,1.7,0.563,32.400002,5013.06217986142
